Period Year (copy),PeriodCode (copy),ID,Region,Area,Year,Period,Adjustment,Preliminary,Area Type,Period Type Description,StateSelected,Adjusted,PeriodCode,Prelim,State Code,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
2018,7,3398312,MI,Michigan,2018,July,Not Adj,No,State,Monthly,TRUE,0,7,0,26,Michigan,"4,727,000","4,965,000","238,000",4.8
2019,7,3400922,MI,Michigan,2019,July,Not Adj,No,State,Monthly,TRUE,0,7,0,26,Michigan,"4,743,000","4,995,000","253,000",5.1
2020,7,3403522,MI,Michigan,2020,July,Not Adj,No,State,Monthly,TRUE,0,7,0,26,Michigan,"4,406,000","4,871,000","465,000",9.5
2018,8,3398314,MI,Michigan,2018,August,Not Adj,No,State,Monthly,TRUE,0,8,0,26,Michigan,"4,705,000","4,907,000","201,000",4.1
2019,8,3400924,MI,Michigan,2019,August,Not Adj,No,State,Monthly,TRUE,0,8,0,26,Michigan,"4,756,000","4,965,000","209,000",4.2
2018,9,3398316,MI,Michigan,2018,September,Not Adj,No,State,Monthly,TRUE,0,9,0,26,Michigan,"4,716,000","4,891,000","175,000",3.6
2019,9,3400926,MI,Michigan,2019,September,Not Adj,No,State,Monthly,TRUE,0,9,0,26,Michigan,"4,758,000","4,931,000","173,000",3.5
2018,10,3398318,MI,Michigan,2018,October,Not Adj,No,State,Monthly,TRUE,0,10,0,26,Michigan,"4,749,000","4,927,000","178,000",3.6
2019,10,3400928,MI,Michigan,2019,October,Not Adj,No,State,Monthly,TRUE,0,10,0,26,Michigan,"4,770,000","4,943,000","174,000",3.5
2020,8,3403524,MI,Michigan,2020,August,Not Adj,Yes,State,Monthly,TRUE,0,8,1,26,Michigan,"4,502,000","4,941,000","440,000",8.9
2018,1,3398301,MI,Michigan,2018,January,Seas. Adj,No,State,Monthly,TRUE,1,1,0,26,Michigan,"4,674,000","4,893,000","219,000",4.5
2019,1,3400911,MI,Michigan,2019,January,Seas. Adj,No,State,Monthly,TRUE,1,1,0,26,Michigan,"4,733,000","4,940,000","207,000",4.2
2020,1,3403511,MI,Michigan,2020,January,Seas. Adj,No,State,Monthly,TRUE,1,1,0,26,Michigan,"4,760,000","4,947,000","187,000",3.8
2018,2,3398303,MI,Michigan,2018,February,Seas. Adj,No,State,Monthly,TRUE,1,2,0,26,Michigan,"4,680,000","4,897,000","216,000",4.4
2019,2,3400913,MI,Michigan,2019,February,Seas. Adj,No,State,Monthly,TRUE,1,2,0,26,Michigan,"4,729,000","4,939,000","210,000",4.2
2020,2,3403513,MI,Michigan,2020,February,Seas. Adj,No,State,Monthly,TRUE,1,2,0,26,Michigan,"4,770,000","4,950,000","180,000",3.6
2018,3,3398305,MI,Michigan,2018,March,Seas. Adj,No,State,Monthly,TRUE,1,3,0,26,Michigan,"4,689,000","4,903,000","213,000",4.4
2019,3,3400915,MI,Michigan,2019,March,Seas. Adj,No,State,Monthly,TRUE,1,3,0,26,Michigan,"4,724,000","4,935,000","211,000",4.3
2020,3,3403515,MI,Michigan,2020,March,Seas. Adj,No,State,Monthly,TRUE,1,3,0,26,Michigan,"4,694,000","4,903,000","209,000",4.3
2018,4,3398307,MI,Michigan,2018,April,Seas. Adj,No,State,Monthly,TRUE,1,4,0,26,Michigan,"4,697,000","4,906,000","210,000",4.3
2019,4,3400917,MI,Michigan,2019,April,Seas. Adj,No,State,Monthly,TRUE,1,4,0,26,Michigan,"4,721,000","4,932,000","211,000",4.3
2020,4,3403517,MI,Michigan,2020,April,Seas. Adj,No,State,Monthly,TRUE,1,4,0,26,Michigan,"3,489,000","4,592,000","1,103,000",24
2018,5,3398309,MI,Michigan,2018,May,Seas. Adj,No,State,Monthly,TRUE,1,5,0,26,Michigan,"4,702,000","4,907,000","205,000",4.2
2019,5,3400919,MI,Michigan,2019,May,Seas. Adj,No,State,Monthly,TRUE,1,5,0,26,Michigan,"4,721,000","4,930,000","209,000",4.2
2020,5,3403519,MI,Michigan,2020,May,Seas. Adj,No,State,Monthly,TRUE,1,5,0,26,Michigan,"3,750,000","4,763,000","1,013,000",21.3
2018,6,3398311,MI,Michigan,2018,June,Seas. Adj,No,State,Monthly,TRUE,1,6,0,26,Michigan,"4,704,000","4,905,000","200,000",4.1
2019,6,3400921,MI,Michigan,2019,June,Seas. Adj,No,State,Monthly,TRUE,1,6,0,26,Michigan,"4,725,000","4,931,000","207,000",4.2
2020,6,3403521,MI,Michigan,2020,June,Seas. Adj,No,State,Monthly,TRUE,1,6,0,26,Michigan,"4,205,000","4,943,000","738,000",14.9
2018,7,3398313,MI,Michigan,2018,July,Seas. Adj,No,State,Monthly,TRUE,1,7,0,26,Michigan,"4,707,000","4,903,000","196,000",4
2019,7,3400923,MI,Michigan,2019,July,Seas. Adj,No,State,Monthly,TRUE,1,7,0,26,Michigan,"4,732,000","4,934,000","203,000",4.1
2020,7,3403523,MI,Michigan,2020,July,Seas. Adj,No,State,Monthly,TRUE,1,7,0,26,Michigan,"4,395,000","4,817,000","421,000",8.7
2018,8,3398315,MI,Michigan,2018,August,Seas. Adj,No,State,Monthly,TRUE,1,8,0,26,Michigan,"4,710,000","4,904,000","194,000",3.9
2019,8,3400925,MI,Michigan,2019,August,Seas. Adj,No,State,Monthly,TRUE,1,8,0,26,Michigan,"4,739,000","4,937,000","198,000",4
2018,9,3398317,MI,Michigan,2018,September,Seas. Adj,No,State,Monthly,TRUE,1,9,0,26,Michigan,"4,715,000","4,909,000","193,000",3.9
2019,9,3400927,MI,Michigan,2019,September,Seas. Adj,No,State,Monthly,TRUE,1,9,0,26,Michigan,"4,747,000","4,940,000","193,000",3.9
2018,10,3398319,MI,Michigan,2018,October,Seas. Adj,No,State,Monthly,TRUE,1,10,0,26,Michigan,"4,722,000","4,917,000","195,000",4
2019,10,3400929,MI,Michigan,2019,October,Seas. Adj,No,State,Monthly,TRUE,1,10,0,26,Michigan,"4,751,000","4,942,000","191,000",3.9
2018,11,3398321,MI,Michigan,2018,November,Seas. Adj,No,State,Monthly,TRUE,1,11,0,26,Michigan,"4,728,000","4,928,000","199,000",4
2019,11,3400931,MI,Michigan,2019,November,Seas. Adj,No,State,Monthly,TRUE,1,11,0,26,Michigan,"4,751,000","4,941,000","190,000",3.9
2018,12,3398323,MI,Michigan,2018,December,Seas. Adj,No,State,Monthly,TRUE,1,12,0,26,Michigan,"4,733,000","4,936,000","204,000",4.1
2019,12,3400933,MI,Michigan,2019,December,Seas. Adj,No,State,Monthly,TRUE,1,12,0,26,Michigan,"4,750,000","4,941,000","191,000",3.9
2020,8,3403525,MI,Michigan,2020,August,Seas. Adj,Yes,State,Monthly,TRUE,1,8,1,26,Michigan,"4,488,000","4,916,000","428,000",8.7
2018,4,3398306,MI,Michigan,2018,April,Not Adj,No,State,Monthly,TRUE,0,4,0,26,Michigan,"4,684,000","4,867,000","183,000",3.8
2019,4,3400916,MI,Michigan,2019,April,Not Adj,No,State,Monthly,TRUE,0,4,0,26,Michigan,"4,705,000","4,885,000","179,000",3.7
2020,4,3403516,MI,Michigan,2020,April,Not Adj,No,State,Monthly,TRUE,0,4,0,26,Michigan,"3,477,000","4,553,000","1,076,000",23.6
2018,5,3398308,MI,Michigan,2018,May,Not Adj,No,State,Monthly,TRUE,0,5,0,26,Michigan,"4,732,000","4,907,000","175,000",3.6
2019,5,3400918,MI,Michigan,2019,May,Not Adj,No,State,Monthly,TRUE,0,5,0,26,Michigan,"4,739,000","4,924,000","185,000",3.7
2020,5,3403518,MI,Michigan,2020,May,Not Adj,No,State,Monthly,TRUE,0,5,0,26,Michigan,"3,773,000","4,765,000","992,000",20.8
2018,6,3398310,MI,Michigan,2018,June,Not Adj,No,State,Monthly,TRUE,0,6,0,26,Michigan,"4,744,000","4,961,000","217,000",4.4
2019,6,3400920,MI,Michigan,2019,June,Not Adj,No,State,Monthly,TRUE,0,6,0,26,Michigan,"4,759,000","4,971,000","212,000",4.3
2020,6,3403520,MI,Michigan,2020,June,Not Adj,No,State,Monthly,TRUE,0,6,0,26,Michigan,"4,240,000","4,988,000","748,000",15
2018,11,3398320,MI,Michigan,2018,November,Not Adj,No,State,Monthly,TRUE,0,11,0,26,Michigan,"4,751,000","4,916,000","166,000",3.4
2019,11,3400930,MI,Michigan,2019,November,Not Adj,No,State,Monthly,TRUE,0,11,0,26,Michigan,"4,772,000","4,931,000","159,000",3.2
2018,12,3398322,MI,Michigan,2018,December,Not Adj,No,State,Monthly,TRUE,0,12,0,26,Michigan,"4,724,000","4,919,000","196,000",4
2019,12,3400932,MI,Michigan,2019,December,Not Adj,No,State,Monthly,TRUE,0,12,0,26,Michigan,"4,747,000","4,922,000","175,000",3.6
2018,0,3398299,MI,Michigan,2018,Annual,Not Adj,No,State,Annual,TRUE,0,0,0,26,Michigan,"4,705,000","4,909,000","203,000",4.1
2019,0,3400909,MI,Michigan,2019,Annual,Not Adj,No,State,Annual,TRUE,0,0,0,26,Michigan,"4,736,000","4,937,000","201,000",4.1
2018,1,3398300,MI,Michigan,2018,January,Not Adj,No,State,Monthly,TRUE,0,1,0,26,Michigan,"4,597,000","4,840,000","244,000",5
2019,1,3400910,MI,Michigan,2019,January,Not Adj,No,State,Monthly,TRUE,0,1,0,26,Michigan,"4,662,000","4,909,000","247,000",5
2020,1,3403510,MI,Michigan,2020,January,Not Adj,No,State,Monthly,TRUE,0,1,0,26,Michigan,"4,714,000","4,924,000","211,000",4.3
